Record_Number,LSN,Type,Type_ID,Length,Space_ID,Page_No,Table_ID,Group,Data_Preview,Data_Length
517,24211,MLOG_1BYTE,1,7,0,0,0,16,offset=5141 value=0x8ed,23
518,24285,MLOG_PAGE_CREATE_RTREE,57,69,0,0,0,16,offset=50688 badlen=65275 hex=7e010100090001800880068007800080088001800480017fff020102000001153ef300...,158
519,24292,MLOG_1BYTE,1,7,0,0,0,16,offset=5397 value=0x80e,23
520,24366,MLOG_REC_INSERT,67,69,0,0,0,16,offset=50688 badlen=65275 hex=7e010100090001800880068007800080088001800480017fff020102000001153f1300...,158
521,24373,MLOG_1BYTE,1,7,0,0,0,16,offset=5397 value=0x82f,23
522,24447,MLOG_INIT_FILE_PAGE,29,69,0,0,0,16,offset=50688 badlen=65275 hex=7e010100090001800880068007800080088001800480017fff020102000001153f3300...,158
523,24454,MLOG_1BYTE,1,7,0,0,0,16,offset=5397 value=0x850,23
524,24528,MLOG_COMP_PAGE_CREATE_RTREE,58,69,0,0,0,16,offset=50688 badlen=65275 hex=7e010100090001800880068007800080088001800480017fff020102000001153f5300...,158
525,24535,MLOG_1BYTE,1,7,0,0,0,16,offset=5397 value=0x871,23
526,24560,MLOG_INIT_FILE_PAGE2,59,20,0,0,0,16,offset=50688 badlen=65275 hex=7e0101000900018008800680078000,60
527,24705,MLOG_UNDO_ERASE_END,21,97,0,0,0,16,offset=7168 len=92 hex=80a109000000000503c200000115159208000000000000003c00c6fbfe7e01010009000180088...,207
528,24713,MLOG_1BYTE,1,7,0,0,0,16,offset=5397 value=0x8b3,23
529,24787,MLOG_INDEX_LOAD,61,69,0,0,0,16,offset=50688 badlen=65275 hex=7e010100090001800880068007800080088001800480017fff020102000001153fb300...,158
530,24859,MLOG_INIT_FILE_PAGE,29,69,0,0,0,16,offset=64260 badlen=33262 hex=040c76811d16fbee811d0204fbee811d002c811502fbee811d00302c04fbee811d0032...,158
531,24930,MLOG_UNDO_ERASE_END,21,69,0,0,0,16,offset=12800 badlen=7553 hex=02fbee811500362c04fbee811500460214fbee811d001c5c0080a309000000000503c20...,157
532,25064,UNKNOWN_MLOG_6,6,133,0,0,0,16,offset=1920 len=128 hex=80088001800480017fff0201020000011d003800000007030494000094fbee811d001c5c0080...,280
533,25067,MLOG_1BYTE,1,1,0,0,0,16,,0
534,25072,MLOG_UNDO_ERASE_END,21,5,0,0,0,16,offset=5654 len=8,17
535,25107,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
536,25114,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
537,25122,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
538,25131,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
539,25151,UNKNOWN_MLOG_7,7,15,0,0,0,16,offset=1283 len=10 hex=0094fbee811d001c5c00,43
540,25163,MLOG_REC_INSERT_8027,9,293,0,0,0,16,"space_id=0 | page_no=0 | index_info=(n_fields=0,n_uniq=773) | record_data=(cursor_offset=194,end_seg...",293
541,25170,MLOG_1BYTE,1,7,0,0,0,16,offset=5653 value=0x837,23
542,25188,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
543,25195,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
544,25203,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
545,25212,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
546,25290,UNKNOWN_MLOG_7,7,73,0,0,0,16,offset=1283 len=68 hex=0094fbee811d001c5c0080a709000000000503c20000011516580800000000000000a400c6fbf...,159
547,25298,MLOG_1BYTE,1,7,0,0,0,16,offset=29 value=0xb8,20
548,25430,UNKNOWN_MLOG_7,7,132,0,0,0,16,offset=1283 len=127 hex=0094fbee811d001c5c0080a809000000000503c20000011516790800000000000000a500c6fb...,278
549,25438,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
550,25446,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
551,25455,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
552,25529,UNKNOWN_MLOG_7,7,69,0,0,0,16,offset=1283 badlen=244 hex=0094fbee811d001c5c0080aa09000000000503c20000011516bb0800000000000000a700c...,155
553,25536,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
554,25543,MLOG_1BYTE,1,7,0,0,0,16,offset=24 value=0x3070000,25
555,25584,UNKNOWN_MLOG_6,6,41,0,0,0,16,offset=47 badlen=37888 hex=fbee811d001c5c0080ab09000000000503c20000011516dc0800000000000000a800c6fb,99
556,25745,MLOG_INIT_FILE_PAGE,29,97,0,0,0,16,offset=7168 len=92 hex=80ac09000000000503c20000011516fd0800000000000000a900c6fbfe7f01010009000180088...,207
557,25753,MLOG_1BYTE,1,7,0,0,0,16,offset=5909 value=0x81e,23
558,25771,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
559,25778,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
560,25786,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
561,25795,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
562,25802,MLOG_1BYTE,1,7,0,0,0,16,offset=120 value=0x3070000,26
563,25871,UNKNOWN_MLOG_6,6,69,0,0,0,16,offset=221 badlen=37888 hex=fbee811d001c5c0080ae09000000000503c200000115173f0800000000000000ab00c6fb...,156
564,25878,MLOG_2BYTES,2,7,0,0,0,16,offset=0 value=0x98011d01,25
565,25907,UNKNOWN_MLOG_7,7,26,0,0,0,16,offset=1795 len=21 hex=0094fbee811d001c5c0080af09000000000503c200,65
566,25915,MLOG_1BYTE,1,7,0,0,0,16,offset=5909 value=0x860,23
567,25933,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
568,25940,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
569,25948,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
570,25957,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
571,25964,MLOG_1BYTE,1,7,0,0,0,16,offset=184 value=0x3070000,26
572,26033,UNKNOWN_MLOG_7,7,69,0,0,0,16,offset=78 badlen=37888 hex=fbee811d001c5c0080b009000000000503c20000011517810800000000000000ad00c6fbf...,155
573,26040,MLOG_2BYTES,2,7,0,0,0,16,offset=0 value=0xd8011d01,25
574,26096,UNKNOWN_MLOG_7,7,53,0,0,0,16,offset=1795 badlen=139 hex=0094fbee811d001c5c0080b109000000000503c20000011517a20800000000000000ae00c...,123
575,26247,MLOG_INIT_FILE_PAGE,29,97,0,0,0,16,offset=7168 len=92 hex=80b209000000000503c20000011517c30800000000000000af00c6fbfe7f01010009000180088...,207
576,26255,MLOG_1BYTE,1,7,0,0,0,16,offset=5909 value=0x8e4,23
577,26273,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
578,26280,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
579,26288,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
580,26297,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
581,26304,MLOG_2BYTES,2,7,0,0,0,16,offset=56 value=0x3070000,25
582,26311,MLOG_8BYTES,8,7,0,0,0,16,offset=55 value=0xeefb9400,26
583,26409,MLOG_INIT_FILE_PAGE,29,97,0,0,0,16,offset=7168 len=92 hex=80b409000000000503c20000011518050800000000000000b100c6fbfe7f01010009000180088...,207
584,26417,MLOG_1BYTE,1,7,0,0,0,16,offset=6165 value=0x826,23
585,26435,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
586,26442,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
587,26450,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
588,26459,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
589,26466,MLOG_2BYTES,2,7,0,0,0,16,offset=120 value=0x3070000,26
590,26473,MLOG_8BYTES,8,7,0,0,0,16,offset=173 value=0xeefb9400,27
591,26571,MLOG_INIT_FILE_PAGE,29,97,0,0,0,16,offset=7168 len=92 hex=80b609000000000503c20000011518470800000000000000b300c6fbfe7f01010009000180088...,207
592,26579,MLOG_1BYTE,1,7,0,0,0,16,offset=6165 value=0x868,23
593,26597,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
594,26604,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
595,26606,MLOG_8BYTES,8,1,0,0,0,16,,1
596,26749,MLOG_INIT_FILE_PAGE,29,97,0,0,0,16,offset=7168 len=92 hex=80b809000000000503c20000011518890800000000000000b500c6fbfe7f01010009000180088...,207
597,26757,MLOG_1BYTE,1,7,0,0,0,16,offset=6165 value=0x8aa,23
598,26775,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
